,COMPOUND_NAME,SACRI_PERIOD,DOSE_LEVEL,RBC(x10_4/ul),Hb(g/dL),Ht(%),MCV(fL),MCH(pg),MCHC(%),Ret(%),Plat(x10_4/uL),WBC(x10_2/uL),Neu(%),Eos(%),Bas(%),Mono(%),Lym(%),PT(s),APTT(s),Fbg(mg/dL),ALP(IU/L),TC(mg/dL),TG(mg/dL),PL(mg/dL),TBIL(mg/dL),DBIL(mg/dL),GLC(mg/dL),BUN(mg/dL),CRE(mg/dL),Na(meq/L),K(meq/L),Cl(meq/L),Ca(mg/dL),IP(mg/dL),TP(g/dL),RALB(g/dL),A/G,AST(IU/L),ALT(IU/L),LDH(IU/L),GTP(IU/L)
0,thioacetamide,29 day,Middle,867.0,15.5,46.4,53.5,17.9,33.5,2.1,115.4,152.0,15.0,1.0,0.0,22.0,61.0,12.4,16.7,224.0,834.0,64.0,45.0,134.0,0.24,0.03,155.0,25.0,0.6,134.0,5.0,105.0,9.8,6.6,5.6,3.9,2.3,39.0,34.0,104.0,3.0
1,lomustine,29 day,Low,783.0,15.0,44.9,57.4,19.1,33.3,2.5,107.8,147.0,8.0,1.0,0.0,5.0,85.0,11.4,16.7,209.0,572.0,96.0,84.0,182.0,0.29,0.0,189.0,20.0,0.4,140.0,4.4,106.0,10.9,6.2,6.6,4.2,1.8,73.0,40.0,110.0,1.0
2,nicotinic acid,29 day,Middle,781.0,14.9,42.6,54.5,19.1,35.1,2.3,104.0,99.3,29.0,2.0,0.0,3.0,66.0,16.6,25.6,344.0,1002.0,73.0,123.0,142.0,0.01,0.0,196.0,15.0,0.2,144.0,4.7,108.0,10.3,5.8,6.1,2.9,0.9,78.0,43.0,132.0,4.0
3,metformin,8 day,High,686.0,14.3,42.9,62.5,20.8,33.2,5.5,99.5,118.9,11.0,0.0,0.0,3.0,85.0,12.4,14.1,262.0,1145.0,79.0,81.0,147.0,0.03,0.01,212.0,14.0,0.1,141.0,4.8,104.0,11.2,8.7,5.7,2.7,0.9,88.0,48.0,55.0,1.0
4,perhexiline,15 day,Low,665.0,14.7,42.5,63.9,22.2,34.7,4.8,113.4,107.1,13.0,0.0,0.0,3.0,83.0,16.1,22.5,342.0,1600.0,62.0,296.0,157.0,0.0,0.0,202.0,15.0,0.2,144.0,4.2,106.0,10.4,6.6,6.0,3.2,1.2,74.0,44.0,270.0,2.0
5,bucetin,29 day,High,556.0,14.4,43.0,77.4,25.9,33.5,10.6,111.6,143.7,14.0,1.0,1.0,3.0,81.0,15.0,18.8,266.0,1548.0,68.0,179.0,165.0,0.13,0.05,177.0,18.0,0.2,144.0,3.9,102.0,11.7,6.8,6.8,3.1,0.8,64.0,35.0,115.0,1.0
6,chlormadinone,29 day,Low,795.0,15.2,44.3,55.7,19.1,34.3,1.9,95.1,108.9,10.0,1.0,0.0,1.0,86.0,15.0,28.9,281.0,1205.0,75.0,143.0,150.0,0.01,0.0,195.0,20.0,0.2,142.0,4.0,107.0,10.4,5.6,6.0,3.3,1.2,72.0,52.0,179.0,3.0
7,thioridazine,15 day,Low,723.0,14.7,43.9,60.7,20.3,33.4,4.3,117.6,118.0,9.0,1.0,0.0,5.0,85.0,11.9,17.3,222.0,1044.0,72.0,201.0,157.0,0.33,0.0,193.0,20.0,0.6,138.0,5.0,108.0,10.7,6.5,6.3,4.1,1.9,69.0,35.0,104.0,1.0
8,clofibrate,15 day,Low,730.0,14.0,41.9,57.4,19.2,33.4,4.3,126.8,104.1,17.0,1.0,0.0,2.0,80.0,12.3,18.9,237.0,1359.0,63.0,94.0,147.0,0.13,0.07,263.0,20.0,0.5,140.0,4.4,101.0,10.5,6.8,5.7,3.3,1.4,61.0,34.0,137.0,0.0
9,disulfiram,29 day,Middle,723.0,14.1,40.6,56.2,19.5,34.7,5.5,91.7,102.7,22.0,2.0,0.0,2.0,73.0,16.0,22.0,400.0,744.0,123.0,38.0,182.0,0.03,0.0,168.0,22.0,0.2,143.0,4.2,108.0,10.8,5.6,6.3,3.3,1.1,65.0,32.0,121.0,2.0
