COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)	stratify_col
acetaminophen	8 day	Low	614.0	13.2	38.5	62.6	21.5	34.4	5.8	125.8	8.7	17.0	2.0	0.0	10.0	72.0	11.5	15.2	242.0	689.0	75.0	160.0	166.0	0.19	0.02	186.0	19.0	0.4	144.0	5.5	104.0	10.6	8.3	6.1	3.5	1.4	69.0	31.0	140.0	1.0	acetaminophen_8 day_Low
acetaminophen	8 day	Low	614.0	13.2	38.5	62.6	21.5	34.4	5.8	125.8	8.7	17.0	2.0	0.0	10.0	72.0	11.5	15.2	242.0	689.0	75.0	160.0	166.0	0.19	0.02	186.0	19.0	0.4	144.0	5.5	104.0	10.6	8.3	6.1	3.5	1.4	69.0	31.0	140.0	1.0	acetaminophen_8 day_Low
acetaminophen	8 day	Low	619.0	13.2	39.1	63.2	21.3	33.7	8.1	118.7	39.7	11.0	1.0	0.0	6.0	82.0	11.7	16.4	252.0	920.0	75.0	175.0	180.0	0.25	0.0	220.0	19.0	0.5	143.0	4.3	104.0	11.0	8.2	6.3	3.9	1.6	56.0	32.0	260.0	1.0	acetaminophen_8 day_Low
acetaminophen	8 day	Low	568.0	13.1	38.3	67.4	23.0	34.1	8.1	113.8	49.0	30.0	2.0	0.0	9.0	59.0	11.4	16.8	241.0	665.0	104.0	41.0	179.0	0.22	0.05	197.0	15.0	0.3	142.0	5.3	104.0	10.8	9.5	5.8	3.5	1.5	50.0	26.0	88.0	2.0	acetaminophen_8 day_Low
acetaminophen	8 day	Low	635.0	13.7	40.8	64.2	21.6	33.6	7.4	130.1	62.0	21.0	1.0	0.0	4.0	74.0	11.3	15.0	256.0	757.0	79.0	41.0	192.0	0.21	0.01	174.0	17.0	0.3	145.0	5.1	102.0	11.3	9.1	5.5	3.4	1.6	51.0	33.0	117.0	1.0	acetaminophen_8 day_Low
acetaminophen	8 day	Low	635.0	13.7	40.8	64.2	21.6	33.6	7.4	130.1	62.0	21.0	1.0	0.0	4.0	74.0	11.3	15.0	256.0	757.0	79.0	41.0	192.0	0.21	0.01	174.0	17.0	0.3	145.0	5.1	102.0	11.3	9.1	5.5	3.4	1.6	51.0	33.0	117.0	1.0	acetaminophen_8 day_Low
acetaminophen	8 day	Low	627.0	14.0	41.6	66.4	22.3	33.7	7.3	120.2	34.9	11.0	1.0	0.0	6.0	82.0	11.6	15.8	257.0	1035.0	67.0	101.0	178.0	0.19	0.01	215.0	17.0	0.3	143.0	5.5	103.0	11.0	10.1	5.9	3.7	1.7	58.0	33.0	86.0	1.0	acetaminophen_8 day_Low
acetaminophen	8 day	Low	627.0	14.0	41.6	66.4	22.3	33.7	7.3	120.2	34.9	11.0	1.0	0.0	6.0	82.0	11.6	15.8	257.0	1035.0	67.0	101.0	178.0	0.19	0.01	215.0	17.0	0.3	143.0	5.5	103.0	11.0	10.1	5.9	3.7	1.7	58.0	33.0	86.0	1.0	acetaminophen_8 day_Low
acetaminophen	15 day	Low	629.0	13.8	40.5	64.4	21.9	34.0	5.5	130.3	33.8	19.0	1.0	0.0	9.0	72.0	11.1	13.4	233.0	773.0	62.0	219.0	165.0	0.22	0.03	210.0	21.0	0.4	143.0	4.8	104.0	10.2	8.3	6.2	3.7	1.5	67.0	37.0	220.0	1.0	acetaminophen_15 day_Low
acetaminophen	15 day	Low	629.0	13.8	40.5	64.4	21.9	34.0	5.5	130.3	33.8	19.0	1.0	0.0	9.0	72.0	11.1	13.4	233.0	773.0	62.0	219.0	165.0	0.22	0.03	210.0	21.0	0.4	143.0	4.8	104.0	10.2	8.3	6.2	3.7	1.5	67.0	37.0	220.0	1.0	acetaminophen_15 day_Low
acetaminophen	15 day	Low	681.0	14.3	42.1	61.8	21.0	34.0	4.6	108.6	86.5	7.0	1.0	0.0	3.0	89.0	11.4	16.1	236.0	645.0	66.0	177.0	155.0	0.27	0.04	193.0	19.0	0.3	142.0	5.3	106.0	10.5	7.0	6.4	3.8	1.5	55.0	22.0	226.0	1.0	acetaminophen_15 day_Low
acetaminophen	15 day	Low	605.0	13.7	40.2	66.5	22.7	34.2	5.6	132.6	27.6	23.0	1.0	0.0	4.0	73.0	11.3	15.1	262.0	744.0	68.0	213.0	163.0	0.21	0.06	199.0	17.0	0.5	144.0	5.0	105.0	10.9	7.7	5.9	3.6	1.6	55.0	34.0	128.0	4.0	acetaminophen_15 day_Low
acetaminophen	15 day	Low	645.0	13.6	39.9	61.8	21.1	34.1	7.0	119.1	57.0	17.0	0.0	0.0	4.0	79.0	11.7	16.2	229.0	561.0	68.0	208.0	162.0	0.23	0.04	186.0	17.0	0.4	143.0	5.5	105.0	10.6	8.9	5.9	3.6	1.6	49.0	23.0	136.0	1.0	acetaminophen_15 day_Low
acetaminophen	15 day	Low	645.0	13.6	39.9	61.8	21.1	34.1	7.0	119.1	57.0	17.0	0.0	0.0	4.0	79.0	11.7	16.2	229.0	561.0	68.0	208.0	162.0	0.23	0.04	186.0	17.0	0.4	143.0	5.5	105.0	10.6	8.9	5.9	3.6	1.6	49.0	23.0	136.0	1.0	acetaminophen_15 day_Low
acetaminophen	15 day	Low	659.0	13.7	40.5	61.4	20.8	33.8	3.3	131.2	39.4	6.0	1.0	0.0	4.0	89.0	11.5	17.0	243.0	790.0	68.0	231.0	162.0	0.23	0.0	195.0	15.0	0.3	141.0	5.1	105.0	10.7	9.8	6.3	3.8	1.5	60.0	34.0	95.0	1.0	acetaminophen_15 day_Low
